year,province_code,province_name_ko,province_name_en,sex,age_group,population,population_type,reference_date
2000,43,충청북도,Chungcheongbuk-do,female,10-14,46961,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,15-19,58578,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,20-24,60721,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,25-29,60998,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,30-34,63693,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,35-39,61123,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,40-44,58820,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,45-49,43459,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,50-54,32716,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,55-59,36629,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,60-64,36751,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,65-69,31438,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,70-74,22429,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,75-79,15369,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,80-84,8799,registered,2000-12-31
2000,43,충청북도,Chungcheongbuk-do,female,85+,5846,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,0-4,65714,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,5-9,71163,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,10-14,63006,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,15-19,77316,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,20-24,85760,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,25-29,85509,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,30-34,81263,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,35-39,81062,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,40-44,76387,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,45-49,56438,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,50-54,48674,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,55-59,43720,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,60-64,45284,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,65-69,37912,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,70-74,22768,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,75-79,14561,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,80-84,6880,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,male,85+,2996,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,0-4,60090,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,5-9,63175,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,10-14,58320,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,15-19,73980,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,20-24,73881,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,25-29,72030,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,30-34,73030,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,35-39,72809,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,40-44,70121,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,45-49,54480,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,50-54,47609,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,55-59,51038,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,60-64,54686,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,65-69,49510,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,70-74,34030,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,75-79,23594,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,80-84,13411,registered,2000-12-31
2000,44,충청남도,Chungcheongnam-do,female,85+,9397,registered,2000-12-31
2000,46,전라남도,Jeollanam-do,male,0-4,70290,registered,2000-12-31
2000,46,전라남도,Jeollanam-do,male,5-9,76270,registered,2000-12-31
2000,46,전라남도,Jeollanam-do,male,10-14,66691,registered,2000-12-31
2000,46,전라남도,Jeollanam-do,male,15-19,89967,registered,2000-12-31
2000,46,전라남도,Jeollanam-do,male,20-24,100208,registered,2000-12-31
2000,46,전라남도,Jeollanam-do,male,25-29,87270,registered,2000-12-31
2000,46,전라남도,Jeollanam-do,male,30-34,85208,registered,2000-12-31
2000,46,전라남도,Jeollanam-do,male,35-39,82820,registered,2000-12-31
2000,46,전라남도,Jeollanam-do,male,40-44,80210,registered,2000-12-31
2000,46,전라남도,Jeollanam-do,male,45-49,61262,registered,2000-12-31
2000,46,전라남도,Jeollanam-do,male,50-54,58389,registered,2000-12-31
2000,46,전라남도,Jeollanam-do,male,55-59,54829,registered,2000-12-31
2000,46,전라남도,Jeollanam-do,male,60-64,54589,registered,2000-12-31
2000,46,전라남도,Jeollanam-do,male,65-69,40216,registered,2000-12-31
2000,46,전라남도,Jeollanam-do,male,70-74,26825,registered,2000-12-31
2000,46,전라남도,Jeollanam-do,male,75-79,16473,registered,2000-12-31
